epoch	train_loss	val_loss	val_auroc
1	0.13189722025051712	0.08152542263269424	0.9958887535489935
2	0.07934886091187596	0.06618278473615646	0.9966076725972031
3	0.06925746356777847	0.05875145643949509	0.9967577464120636
4	0.06372550694093108	0.05936335399746895	0.9967187984117079
5	0.061380009839832786	0.05354628339409828	0.9968483193474129
6	0.058620821905434134	0.05160915106534958	0.9970355758794305
7	0.05705429850235581	0.050338953733444214	0.9971040320090399
8	0.05632519501961768	0.051541559398174286	0.9967465003038752
9	0.05484574123136699	0.04804456979036331	0.9967650609470381
10	0.053975382717847825	0.052560530602931976	0.9967425431344816
