epoch	train_loss	val_loss	val_auroc
1	0.19903253784179686	0.13048985600471497	0.992533573881908
2	0.128646545945704	0.11117984354496002	0.9937772896976873
3	0.11286194341123104	0.09648782014846802	0.9942542625629603
4	0.10343447766780853	0.08531159907579422	0.9946818322416446
5	0.09784647173672914	0.08369588851928711	0.9946197751569796
6	0.09400364001780748	0.08563390374183655	0.9947836922390698
7	0.09234767843738198	0.08073408156633377	0.9946894496647465
8	0.09118995148479939	0.08260992914438248	0.9942440829622629
9	0.08967497465461492	0.07936004549264908	0.9946997384758111
10	0.08935008806973696	0.08095942437648773	0.9944403860374198
