epoch	train_loss	val_loss	val_auroc
1	0.27094613811135293	0.1878097653388977	0.9852397624277947
2	0.18314398574709892	0.16192370653152466	0.9877707186566532
3	0.1619019919192791	0.1652917116880417	0.9876952995129383
4	0.15455002689540387	0.1429322212934494	0.9892452992159373
5	0.14972008611917495	0.1410289853811264	0.9894164864662904
6	0.1452845991754532	0.1338680386543274	0.9898266183208981
7	0.14408947868198158	0.13516627252101898	0.9896035860084053
8	0.14208721632778645	0.12945051491260529	0.9901116497000484
9	0.1398342840451002	0.14365139603614807	0.9888807387998058
10	0.1389272001284361	0.12918245792388916	0.9896545189933389
