epoch	train_loss	val_loss	val_auroc
1	0.08447237113535404	0.04308415204286575	0.9983380605239793
2	0.044646510145068166	0.0345405638217926	0.9985779248842939
3	0.039074857345446946	0.03165755793452263	0.9985753260188405
4	0.03655313427116722	0.027779990807175636	0.9986437872676858
5	0.03549730290926993	0.027927743270993233	0.9986750598269322
6	0.033797813482694325	0.032395921647548676	0.9986471864403603
7	0.03368497626811266	0.02572537027299404	0.9986607728925863
8	0.03260108957819641	0.028263427317142487	0.9986379027059549
9	0.03230900468107313	0.024887392297387123	0.9988196543529083
10	0.03199887992911041	0.02443433180451393	0.9987031149463805
